"";"PROBEID";"SYMBOL";"ENTREZID";"GENENAME";"GO";"EVIDENCE";"ONTOLOGY";"GOID";"TERM"
"50";"201427_s_at";"SELENOP";"6414";"selenoprotein P";"GO:0031089";"TAS";"CC";"GO:0031089";"platelet dense granule lumen"
"51";"201427_s_at";"SELENOP";"6414";"selenoprotein P";"GO:0040008";"IEA";"BP";"GO:0040008";"regulation of growth"
"52";"201427_s_at";"SELENOP";"6414";"selenoprotein P";"GO:0070062";"HDA";"CC";"GO:0070062";"extracellular exosome"
"53";"204897_at";"PTGER4";"5734";"prostaglandin E receptor 4";"GO:0001818";"ISS";"BP";"GO:0001818";"negative regulation of cytokine production"
"54";"204897_at";"PTGER4";"5734";"prostaglandin E receptor 4";"GO:0001819";"ISS";"BP";"GO:0001819";"positive regulation of cytokine production"
"55";"204897_at";"PTGER4";"5734";"prostaglandin E receptor 4";"GO:0004957";"IBA";"MF";"GO:0004957";"prostaglandin E receptor activity"
"56";"204897_at";"PTGER4";"5734";"prostaglandin E receptor 4";"GO:0004957";"IDA";"MF";"GO:0004957";"prostaglandin E receptor activity"
"57";"204897_at";"PTGER4";"5734";"prostaglandin E receptor 4";"GO:0005515";"IPI";"MF";"GO:0005515";"protein binding"
"58";"204897_at";"PTGER4";"5734";"prostaglandin E receptor 4";"GO:0005886";"IBA";"CC";"GO:0005886";"plasma membrane"
"59";"204897_at";"PTGER4";"5734";"prostaglandin E receptor 4";"GO:0005886";"TAS";"CC";"GO:0005886";"plasma membrane"
"60";"204897_at";"PTGER4";"5734";"prostaglandin E receptor 4";"GO:0006954";"IBA";"BP";"GO:0006954";"inflammatory response"
"61";"204897_at";"PTGER4";"5734";"prostaglandin E receptor 4";"GO:0006955";"IEP";"BP";"GO:0006955";"immune response"
"62";"204897_at";"PTGER4";"5734";"prostaglandin E receptor 4";"GO:0007188";"IDA";"BP";"GO:0007188";"adenylate cyclase-modulating G protein-coupled receptor signaling pathway"
"63";"204897_at";"PTGER4";"5734";"prostaglandin E receptor 4";"GO:0007189";"IBA";"BP";"GO:0007189";"adenylate cyclase-activating G protein-coupled receptor signaling pathway"
"64";"204897_at";"PTGER4";"5734";"prostaglandin E receptor 4";"GO:0007204";"IBA";"BP";"GO:0007204";"positive regulation of cytosolic calcium ion concentration"
"65";"204897_at";"PTGER4";"5734";"prostaglandin E receptor 4";"GO:0007254";"ISS";"BP";"GO:0007254";"JNK cascade"
"66";"204897_at";"PTGER4";"5734";"prostaglandin E receptor 4";"GO:0009612";"IEP";"BP";"GO:0009612";"response to mechanical stimulus"
"67";"204897_at";"PTGER4";"5734";"prostaglandin E receptor 4";"GO:0016021";"NAS";"CC";"GO:0016021";"integral component of membrane"
"68";"204897_at";"PTGER4";"5734";"prostaglandin E receptor 4";"GO:0030278";"IEA";"BP";"GO:0030278";"regulation of ossification"
"69";"204897_at";"PTGER4";"5734";"prostaglandin E receptor 4";"GO:0032496";"IEA";"BP";"GO:0032496";"response to lipopolysaccharide"
"70";"204897_at";"PTGER4";"5734";"prostaglandin E receptor 4";"GO:0033624";"IDA";"BP";"GO:0033624";"negative regulation of integrin activation"
"71";"204897_at";"PTGER4";"5734";"prostaglandin E receptor 4";"GO:0042093";"ISS";"BP";"GO:0042093";"T-helper cell differentiation"
"72";"204897_at";"PTGER4";"5734";"prostaglandin E receptor 4";"GO:0050728";"IBA";"BP";"GO:0050728";"negative regulation of inflammatory response"
"73";"204897_at";"PTGER4";"5734";"prostaglandin E receptor 4";"GO:0050728";"IDA";"BP";"GO:0050728";"negative regulation of inflammatory response"
"74";"204897_at";"PTGER4";"5734";"prostaglandin E receptor 4";"GO:0050729";"ISS";"BP";"GO:0050729";"positive regulation of inflammatory response"
"75";"204897_at";"PTGER4";"5734";"prostaglandin E receptor 4";"GO:0051492";"ISS";"BP";"GO:0051492";"regulation of stress fiber assembly"
"76";"204897_at";"PTGER4";"5734";"prostaglandin E receptor 4";"GO:0060348";"ISS";"BP";"GO:0060348";"bone development"
"77";"204897_at";"PTGER4";"5734";"prostaglandin E receptor 4";"GO:0070371";"ISS";"BP";"GO:0070371";"ERK1 and ERK2 cascade"
"78";"204897_at";"PTGER4";"5734";"prostaglandin E receptor 4";"GO:0071260";"ISS";"BP";"GO:0071260";"cellular response to mechanical stimulus"
"79";"204897_at";"PTGER4";"5734";"prostaglandin E receptor 4";"GO:0071380";"IBA";"BP";"GO:0071380";"cellular response to prostaglandin E stimulus"
"80";"204897_at";"PTGER4";"5734";"prostaglandin E receptor 4";"GO:2000420";"IDA";"BP";"GO:2000420";"negative regulation of eosinophil extravasation"
"81";"221985_at";"KLHL24";"54800";"kelch like family member 24";"GO:0005515";"IPI";"MF";"GO:0005515";"protein binding"
"82";"221985_at";"KLHL24";"54800";"kelch like family member 24";"GO:0005737";"IDA";"CC";"GO:0005737";"cytoplasm"
"83";"221985_at";"KLHL24";"54800";"kelch like family member 24";"GO:0005912";"IDA";"CC";"GO:0005912";"adherens junction"
"84";"221985_at";"KLHL24";"54800";"kelch like family member 24";"GO:0016567";"IDA";"BP";"GO:0016567";"protein ubiquitination"
"85";"221985_at";"KLHL24";"54800";"kelch like family member 24";"GO:0030057";"IDA";"CC";"GO:0030057";"desmosome"
"86";"221985_at";"KLHL24";"54800";"kelch like family member 24";"GO:0030424";"IEA";"CC";"GO:0030424";"axon"
"87";"221985_at";"KLHL24";"54800";"kelch like family member 24";"GO:0031463";"IMP";"CC";"GO:0031463";"Cul3-RING ubiquitin ligase complex"
"88";"221985_at";"KLHL24";"54800";"kelch like family member 24";"GO:0043204";"IEA";"CC";"GO:0043204";"perikaryon"
"89";"221985_at";"KLHL24";"54800";"kelch like family member 24";"GO:0045109";"IMP";"BP";"GO:0045109";"intermediate filament organization"
"90";"221985_at";"KLHL24";"54800";"kelch like family member 24";"GO:0051865";"IMP";"BP";"GO:0051865";"protein autoubiquitination"
"91";"221985_at";"KLHL24";"54800";"kelch like family member 24";"GO:2000312";"IEA";"BP";"GO:2000312";"regulation of kainate selective glutamate receptor activity"
"92";"205303_at";"KCNJ8";"3764";"potassium inwardly rectifying channel subfamily J member 8";"GO:0001822";"IEA";"BP";"GO:0001822";"kidney development"
"93";"205303_at";"KCNJ8";"3764";"potassium inwardly rectifying channel subfamily J member 8";"GO:0005242";"IBA";"MF";"GO:0005242";"inward rectifier potassium channel activity"
"94";"205303_at";"KCNJ8";"3764";"potassium inwardly rectifying channel subfamily J member 8";"GO:0005515";"IPI";"MF";"GO:0005515";"protein binding"
"95";"205303_at";"KCNJ8";"3764";"potassium inwardly rectifying channel subfamily J member 8";"GO:0005524";"ISS";"MF";"GO:0005524";"ATP binding"
"96";"205303_at";"KCNJ8";"3764";"potassium inwardly rectifying channel subfamily J member 8";"GO:0005739";"IEA";"CC";"GO:0005739";"mitochondrion"
"97";"205303_at";"KCNJ8";"3764";"potassium inwardly rectifying channel subfamily J member 8";"GO:0005886";"IBA";"CC";"GO:0005886";"plasma membrane"
"98";"205303_at";"KCNJ8";"3764";"potassium inwardly rectifying channel subfamily J member 8";"GO:0005886";"TAS";"CC";"GO:0005886";"plasma membrane"
"99";"205303_at";"KCNJ8";"3764";"potassium inwardly rectifying channel subfamily J member 8";"GO:0006813";"TAS";"BP";"GO:0006813";"potassium ion transport"
"100";"205303_at";"KCNJ8";"3764";"potassium inwardly rectifying channel subfamily J member 8";"GO:0007507";"IEA";"BP";"GO:0007507";"heart development"
"101";"205303_at";"KCNJ8";"3764";"potassium inwardly rectifying channel subfamily J member 8";"GO:0008076";"TAS";"CC";"GO:0008076";"voltage-gated potassium channel complex"
"102";"205303_at";"KCNJ8";"3764";"potassium inwardly rectifying channel subfamily J member 8";"GO:0008282";"IEA";"CC";"GO:0008282";"inward rectifying potassium channel"
"103";"205303_at";"KCNJ8";"3764";"potassium inwardly rectifying channel subfamily J member 8";"GO:0015272";"IBA";"MF";"GO:0015272";"ATP-activated inward rectifier potassium channel activity"
"104";"205303_at";"KCNJ8";"3764";"potassium inwardly rectifying channel subfamily J member 8";"GO:0015272";"IDA";"MF";"GO:0015272";"ATP-activated inward rectifier potassium channel activity"
"105";"205303_at";"KCNJ8";"3764";"potassium inwardly rectifying channel subfamily J member 8";"GO:0015272";"NAS";"MF";"GO:0015272";"ATP-activated inward rectifier potassium channel activity"
"106";"205303_at";"KCNJ8";"3764";"potassium inwardly rectifying channel subfamily J member 8";"GO:0017098";"IEA";"MF";"GO:0017098";"sulfonylurea receptor binding"
"107";"205303_at";"KCNJ8";"3764";"potassium inwardly rectifying channel subfamily J member 8";"GO:0019829";"ISS";"MF";"GO:0019829";"ATPase-coupled cation transmembrane transporter activity"
"108";"205303_at";"KCNJ8";"3764";"potassium inwardly rectifying channel subfamily J member 8";"GO:0030016";"IEA";"CC";"GO:0030016";"myofibril"
"109";"205303_at";"KCNJ8";"3764";"potassium inwardly rectifying channel subfamily J member 8";"GO:0031004";"ISS";"CC";"GO:0031004";"potassium ion-transporting ATPase complex"
"110";"205303_at";"KCNJ8";"3764";"potassium inwardly rectifying channel subfamily J member 8";"GO:0032496";"IEA";"BP";"GO:0032496";"response to lipopolysaccharide"
"111";"205303_at";"KCNJ8";"3764";"potassium inwardly rectifying channel subfamily J member 8";"GO:0034765";"IBA";"BP";"GO:0034765";"regulation of ion transmembrane transport"
"112";"205303_at";"KCNJ8";"3764";"potassium inwardly rectifying channel subfamily J member 8";"GO:0042383";"IEA";"CC";"GO:0042383";"sarcolemma"
"113";"205303_at";"KCNJ8";"3764";"potassium inwardly rectifying channel subfamily J member 8";"GO:0043330";"IEA";"BP";"GO:0043330";"response to exogenous dsRNA"
"114";"205303_at";"KCNJ8";"3764";"potassium inwardly rectifying channel subfamily J member 8";"GO:0051607";"IEA";"BP";"GO:0051607";"defense response to virus"
"115";"205303_at";"KCNJ8";"3764";"potassium inwardly rectifying channel subfamily J member 8";"GO:0071805";"NAS";"BP";"GO:0071805";"potassium ion transmembrane transport"
"116";"205303_at";"KCNJ8";"3764";"potassium inwardly rectifying channel subfamily J member 8";"GO:0098662";"ISS";"BP";"GO:0098662";"inorganic cation transmembrane transport"
"117";"205303_at";"KCNJ8";"3764";"potassium inwardly rectifying channel subfamily J member 8";"GO:0098915";"IMP";"BP";"GO:0098915";"membrane repolarization during ventricular cardiac muscle cell action potential"
"118";"205303_at";"KCNJ8";"3764";"potassium inwardly rectifying channel subfamily J member 8";"GO:0150104";"NAS";"BP";"GO:0150104";"transport across blood-brain barrier"
"119";"205303_at";"KCNJ8";"3764";"potassium inwardly rectifying channel subfamily J member 8";"GO:1902282";"IMP";"MF";"GO:1902282";"voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization"
"120";"205303_at";"KCNJ8";"3764";"potassium inwardly rectifying channel subfamily J member 8";"GO:1990573";"IBA";"BP";"GO:1990573";"potassium ion import across plasma membrane"
"121";"205303_at";"KCNJ8";"3764";"potassium inwardly rectifying channel subfamily J member 8";"GO:1990573";"IDA";"BP";"GO:1990573";"potassium ion import across plasma membrane"
"122";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0001772";"IDA";"CC";"GO:0001772";"immunological synapse"
"123";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0001845";"IMP";"BP";"GO:0001845";"phagolysosome assembly"
"124";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0001891";"IDA";"CC";"GO:0001891";"phagocytic cup"
"125";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0003723";"HDA";"MF";"GO:0003723";"RNA binding"
"126";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0003779";"IPI";"MF";"GO:0003779";"actin binding"
"127";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0003785";"IMP";"MF";"GO:0003785";"actin monomer binding"
"128";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0005515";"IPI";"MF";"GO:0005515";"protein binding"
"129";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0005737";"IDA";"CC";"GO:0005737";"cytoplasm"
"130";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0005769";"IEA";"CC";"GO:0005769";"early endosome"
"131";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0005829";"TAS";"CC";"GO:0005829";"cytosol"
"132";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0005884";"IDA";"CC";"GO:0005884";"actin filament"
"133";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0005886";"IDA";"CC";"GO:0005886";"plasma membrane"
"134";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0005911";"IEA";"CC";"GO:0005911";"cell-cell junction"
"135";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0006816";"IEA";"BP";"GO:0006816";"calcium ion transport"
"136";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0006909";"IMP";"BP";"GO:0006909";"phagocytosis"
"137";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0007015";"IBA";"BP";"GO:0007015";"actin filament organization"
"138";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0008022";"IPI";"MF";"GO:0008022";"protein C-terminus binding"
"139";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0008092";"ISS";"MF";"GO:0008092";"cytoskeletal protein binding"
"140";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0008360";"IEA";"BP";"GO:0008360";"regulation of cell shape"
"141";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0016020";"HDA";"CC";"GO:0016020";"membrane"
"142";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0016477";"IBA";"BP";"GO:0016477";"cell migration"
"143";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0030027";"IDA";"CC";"GO:0030027";"lamellipodium"
"144";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0030036";"IMP";"BP";"GO:0030036";"actin cytoskeleton organization"
"145";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0030335";"IEA";"BP";"GO:0030335";"positive regulation of cell migration"
"146";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0030424";"IEA";"CC";"GO:0030424";"axon"
"147";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0030595";"IEA";"BP";"GO:0030595";"leukocyte chemotaxis"
"148";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0030670";"IEA";"CC";"GO:0030670";"phagocytic vesicle membrane"
"149";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0030864";"IDA";"CC";"GO:0030864";"cortical actin cytoskeleton"
"150";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0031339";"IEA";"BP";"GO:0031339";"negative regulation of vesicle fusion"
"151";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0031589";"IMP";"BP";"GO:0031589";"cell-substrate adhesion"
"152";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0032036";"IPI";"MF";"GO:0032036";"myosin heavy chain binding"
"153";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0032796";"IEA";"BP";"GO:0032796";"uropod organization"
"154";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0032956";"IMP";"BP";"GO:0032956";"regulation of actin cytoskeleton organization"
"155";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0032991";"IDA";"CC";"GO:0032991";"protein-containing complex"
"156";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0038180";"IEA";"BP";"GO:0038180";"nerve growth factor signaling pathway"
"157";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0042102";"IEA";"BP";"GO:0042102";"positive regulation of T cell proliferation"
"158";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0042803";"IDA";"MF";"GO:0042803";"protein homodimerization activity"
"159";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0043029";"IEA";"BP";"GO:0043029";"T cell homeostasis"
"160";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0043320";"IMP";"BP";"GO:0043320";"natural killer cell degranulation"
"161";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0043524";"IEA";"BP";"GO:0043524";"negative regulation of neuron apoptotic process"
"162";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0043548";"IDA";"MF";"GO:0043548";"phosphatidylinositol 3-kinase binding"
"163";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0045087";"NAS";"BP";"GO:0045087";"innate immune response"
"164";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0045335";"IDA";"CC";"GO:0045335";"phagocytic vesicle"
"165";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0048873";"IEA";"BP";"GO:0048873";"homeostasis of number of cells within a tissue"
"166";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0050918";"IDA";"BP";"GO:0050918";"positive chemotaxis"
"167";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0051015";"IBA";"MF";"GO:0051015";"actin filament binding"
"168";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0051015";"IDA";"MF";"GO:0051015";"actin filament binding"
"169";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0051015";"IMP";"MF";"GO:0051015";"actin filament binding"
"170";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0051126";"IDA";"BP";"GO:0051126";"negative regulation of actin nucleation"
"171";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0051279";"IEA";"BP";"GO:0051279";"regulation of release of sequestered calcium ion into cytosol"
"172";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0061502";"IEA";"BP";"GO:0061502";"early endosome to recycling endosome transport"
"173";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0070062";"HDA";"CC";"GO:0070062";"extracellular exosome"
"174";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0071353";"IEA";"BP";"GO:0071353";"cellular response to interleukin-4"
"175";"209083_at";"CORO1A";"11151";"coronin 1A";"GO:0098978";"IEA";"CC";"GO:0098978";"glutamatergic synapse"
"176";"221824_s_at";"MARCHF8";"220972";"membrane associated ring-CH-type finger 8";"GO:0000209";"IBA";"BP";"GO:0000209";"protein polyubiquitination"
"177";"221824_s_at";"MARCHF8";"220972";"membrane associated ring-CH-type finger 8";"GO:0000209";"IDA";"BP";"GO:0000209";"protein polyubiquitination"
"178";"221824_s_at";"MARCHF8";"220972";"membrane associated ring-CH-type finger 8";"GO:0002250";"IEA";"BP";"GO:0002250";"adaptive immune response"
"179";"221824_s_at";"MARCHF8";"220972";"membrane associated ring-CH-type finger 8";"GO:0002495";"IBA";"BP";"GO:0002495";"antigen processing and presentation of peptide antigen via MHC class II"
"180";"221824_s_at";"MARCHF8";"220972";"membrane associated ring-CH-type finger 8";"GO:0004842";"IDA";"MF";"GO:0004842";"ubiquitin-protein transferase activity"
"181";"221824_s_at";"MARCHF8";"220972";"membrane associated ring-CH-type finger 8";"GO:0005515";"IPI";"MF";"GO:0005515";"protein binding"
"182";"221824_s_at";"MARCHF8";"220972";"membrane associated ring-CH-type finger 8";"GO:0005737";"IBA";"CC";"GO:0005737";"cytoplasm"
"183";"221824_s_at";"MARCHF8";"220972";"membrane associated ring-CH-type finger 8";"GO:0005764";"IBA";"CC";"GO:0005764";"lysosome"
"184";"221824_s_at";"MARCHF8";"220972";"membrane associated ring-CH-type finger 8";"GO:0005764";"IDA";"CC";"GO:0005764";"lysosome"
"185";"221824_s_at";"MARCHF8";"220972";"membrane associated ring-CH-type finger 8";"GO:0005765";"IEA";"CC";"GO:0005765";"lysosomal membrane"
"186";"221824_s_at";"MARCHF8";"220972";"membrane associated ring-CH-type finger 8";"GO:0005768";"IDA";"CC";"GO:0005768";"endosome"
"187";"221824_s_at";"MARCHF8";"220972";"membrane associated ring-CH-type finger 8";"GO:0006955";"IBA";"BP";"GO:0006955";"immune response"
"188";"221824_s_at";"MARCHF8";"220972";"membrane associated ring-CH-type finger 8";"GO:0008270";"IEA";"MF";"GO:0008270";"zinc ion binding"
"189";"221824_s_at";"MARCHF8";"220972";"membrane associated ring-CH-type finger 8";"GO:0016021";"IEA";"CC";"GO:0016021";"integral component of membrane"
"190";"221824_s_at";"MARCHF8";"220972";"membrane associated ring-CH-type finger 8";"GO:0031901";"IBA";"CC";"GO:0031901";"early endosome membrane"
"191";"221824_s_at";"MARCHF8";"220972";"membrane associated ring-CH-type finger 8";"GO:0031902";"IBA";"CC";"GO:0031902";"late endosome membrane"
"192";"221824_s_at";"MARCHF8";"220972";"membrane associated ring-CH-type finger 8";"GO:0042287";"IBA";"MF";"GO:0042287";"MHC protein binding"
"193";"221824_s_at";"MARCHF8";"220972";"membrane associated ring-CH-type finger 8";"GO:0061630";"IBA";"MF";"GO:0061630";"ubiquitin protein ligase activity"
